spending_id,block_id,project_id,budget_year,recipient_name,corporate_number,address,corporation_type,is_other_recipient,amount,contract_method,contract_method_detail,bidders_count,successful_bid_rate,single_bid_reason,is_other_contract,contract_summary,created_at
1,1,1,2024,三井不動産ビルマネジメント株式会社,4010000000000.0,東京都中央区日本橋室町２丁目１番１号,301.0,False,,,,,,,,,2025-08-25T06:25:44.431370
1,2,1,2024,三井不動産ビルマネジメント株式会社,4010000000000.0,東京都中央区日本橋室町２丁目１番１号,301.0,False,,,,,,,,,2025-08-25T06:25:44.431370
1,3,1,2024,三井不動産ビルマネジメント株式会社,4010000000000.0,東京都中央区日本橋室町２丁目１番１号,301.0,False,,,,,,,,,2025-08-25T06:25:44.431370
1,4,1,2024,三井不動産ビルマネジメント株式会社,4010000000000.0,東京都中央区日本橋室町２丁目１番１号,301.0,False,,,,,,,,,2025-08-25T06:25:44.431370
1,5,1,2024,三井不動産ビルマネジメント株式会社,4010000000000.0,東京都中央区日本橋室町２丁目１番１号,301.0,False,,,,,,,,,2025-08-25T06:25:44.431370
1,6,1,2024,三井不動産ビルマネジメント株式会社,4010000000000.0,東京都中央区日本橋室町２丁目１番１号,301.0,False,,,,,,,,,2025-08-25T06:25:44.431370
1,7,1,2024,三井不動産ビルマネジメント株式会社,4010000000000.0,東京都中央区日本橋室町２丁目１番１号,301.0,False,,,,,,,,,2025-08-25T06:25:44.431370
1,8,1,2024,三井不動産ビルマネジメント株式会社,4010000000000.0,東京都中央区日本橋室町２丁目１番１号,301.0,False,,,,,,,,,2025-08-25T06:25:44.431370
2,1,1,2024,三井不動産ビルマネジメント株式会社,4010000000000.0,東京都中央区日本橋室町２丁目１番１号,301.0,False,632000.0,随意契約（少額）,,,,,False,国家公務員合同初任研修に係る研修会場等の借上げ,2025-08-25T06:25:44.431370
2,2,1,2024,三井不動産ビルマネジメント株式会社,4010000000000.0,東京都中央区日本橋室町２丁目１番１号,301.0,False,632000.0,随意契約（少額）,,,,,False,国家公務員合同初任研修に係る研修会場等の借上げ,2025-08-25T06:25:44.431370
2,3,1,2024,三井不動産ビルマネジメント株式会社,4010000000000.0,東京都中央区日本橋室町２丁目１番１号,301.0,False,632000.0,随意契約（少額）,,,,,False,国家公務員合同初任研修に係る研修会場等の借上げ,2025-08-25T06:25:44.431370
2,4,1,2024,三井不動産ビルマネジメント株式会社,4010000000000.0,東京都中央区日本橋室町２丁目１番１号,301.0,False,632000.0,随意契約（少額）,,,,,False,国家公務員合同初任研修に係る研修会場等の借上げ,2025-08-25T06:25:44.431370
2,5,1,2024,三井不動産ビルマネジメント株式会社,4010000000000.0,東京都中央区日本橋室町２丁目１番１号,301.0,False,632000.0,随意契約（少額）,,,,,False,国家公務員合同初任研修に係る研修会場等の借上げ,2025-08-25T06:25:44.431370
2,6,1,2024,三井不動産ビルマネジメント株式会社,4010000000000.0,東京都中央区日本橋室町２丁目１番１号,301.0,False,632000.0,随意契約（少額）,,,,,False,国家公務員合同初任研修に係る研修会場等の借上げ,2025-08-25T06:25:44.431370
2,7,1,2024,三井不動産ビルマネジメント株式会社,4010000000000.0,東京都中央区日本橋室町２丁目１番１号,301.0,False,632000.0,随意契約（少額）,,,,,False,国家公務員合同初任研修に係る研修会場等の借上げ,2025-08-25T06:25:44.431370
2,8,1,2024,三井不動産ビルマネジメント株式会社,4010000000000.0,東京都中央区日本橋室町２丁目１番１号,301.0,False,632000.0,随意契約（少額）,,,,,False,国家公務員合同初任研修に係る研修会場等の借上げ,2025-08-25T06:25:44.431370
