project_id,budget_year,block_no,block_name,role_in_project,block_total_amount
1,2024,A,株式会社ブルーコンシャスほか,研修の企画、運営支援等,10070000.0
1,2024,B,株式会社クオリアほか,講師への謝金、旅費等,1131000.0
4,2024,A,デジタル庁,,
4,2024,B,各府省庁,,
7,2024,A,富士ソフトサービスビューロ株式会社,コールセンター運営業務,200362000.0
7,2024,B,株式会社読売広告社ほか,広報関係事業,600879000.0
7,2024,C,株式会社リフコムほか,広報資料等の改訂・印刷・発送業務,15234000.0
7,2024,D,株式会社ADKクリエイティブワン,展示物等作成業務,11000000.0
7,2024,E,ネットエイジア株式会社,インターネットによるアンケート調査の実施業務,6333000.0
7,2024,F,株式会社Ｓｉｇｎ．Ｏ,外国人向け広報資料の翻訳,426000.0
7,2024,G,ビッグローブ株式会社,wifi通信料,119000.0
7,2024,H,メディコプレス株式会ほか,物品の購入,88000.0
11,2024,A,東京センチュリー株式会社ほか,機器・ソフトウェア等の貸付,10715267000.0
11,2024,B,株式会社ＮＴＴデータ,システム運用・保守,2105314000.0
11,2024,C,関西電力株式会社ほか,庁舎管理等,76346000.0
11,2024,D,富士通株式会社ほか,機器・ソフトウェア等の貸付,6046711000.0
11,2024,E,株式会社ＮＴＴデータSMSほか,システム運用・保守,1142987000.0
11,2024,F,日本メックス株式会社ほか,庁舎管理等,11732000.0
12,2024,A,富士電機株式会社,システム設計・開発,150638000.0
12,2024,B,富士電機株式会社ほか,システム運用・保守,187230000.0
12,2024,C,富士電機株式会社ほか,システム（ハードウェア・ソフトウェア）借入等,140500182.0
12,2024,D,ＰｗＣコンサルティング合同会社,調査研究,58300000.0
12,2024,E,富士アイティ株式会社ほか,システム設計・開発,46782225.0
12,2024,F,富士アイティ株式会社ほか,システム運用・保守,68971563.0
12,2024,G,富士電機ITソリューションズ株式会社,システム（ハードウェア・ソフトウェア）借入等,5444670.0
13,2024,A,法務省,システムデータ整備,66000000.0
13,2024,B,独立行政法人国立印刷局ほか,システムデータ整備,152998000.0
13,2024,C,株式会社コンフィックほか,システム整備,449680000.0
13,2024,D,アイビー・システム株式会社ほか,システム運用・保守,141196000.0
13,2024,E,第一法規株式会社,調査実証,459800000.0
13,2024,F,グラビス・アーキテクツ株式会社,工程管理支援,49500000.0
13,2024,G,株式会社ぎょうせい,システムデータ整備,66000000.0
13,2024,H,アイビー・システム株式会社ほか,システム整備,304139000.0
13,2024,I,株式会社コンフィックほか,システム運用・保守,76956000.0
13,2024,J,ソシオメディア株式会社ほか,調査実証,35240000.0
13,2024,K,株式会社バリューストリーム,工程管理支援,12128000.0
13,2024,L,デジタル庁職員Ａほか,,105000.0
14,2024,A,一般社団法人情報システム研究所,,1112278046.0
14,2024,B,NECキャピタルソリューション株式会社,,584844157.0
14,2024,C,有限責任監査法人トーマツ,,29645000.0
14,2024,D,セコムトラストシステムズ株式会社,,2107050.0
15,2024,A,東京センチュリー株式会社,ハードウェア・ソフトウェアのリース,236229840.0
15,2024,B,富士通株式会社ほか,ハードウェア・ソフトウェアリース補助,111240100.0
15,2024,C,富士通株式会社ほか,システムの運用・保守等,912087760.0
15,2024,D,株式会社富士通エフサスほか,システムの運用・保守支援等,359435800.0
15,2024,E,日本電気株式会社ほか,システム改修等,2299926820.0
15,2024,F,NECソリューションイノベータ株式会社ほか,システム改修支援等,1118965095.0
18,2024,A,一般社団法人行政情報システム研究所,実施計画の策定及び作業指示／プロジェクトの管理及びとりまとめ,2801123000.0
18,2024,B,富士通株式会社,運用支援業務、運用監視業務、移行支援業務における全体管理、利用機関向け構築の管理,982320000.0
18,2024,C,富士通ネットワークソリューションズ株式会社ほか,運用技術支援業務及び運用監視業務、移行支援業務の全体管理の支援、利用機関追加対応向け機器の設定及び設置等現調管理、プロジェクトマネジメント支援業務、運用ツールの開発、運用、保守業務,747433000.0
18,2024,D,株式会社富士通エフサスほか,運用業務、監視業務、移行支援業務、機器の現調作業、配線工事、ラック据付工事業務、システム運用業務、機器等の入替業務、プロジェクトマネジメント支援業務、移行支援業務、運用ツールの開発、運用、保守業務,384260000.0
18,2024,E,株式会社ＪＥＸＥＮＳほか,運用業務、監視業務、移行支援業務、機器の現調作業、データ消去、機器等の入替業務、プロジェクトマネジメント支援業務、,152692000.0
25,2024,A,富士通株式会社,旅費等内部管理業務共通システムの運用業務,396894000.0
25,2024,B,富士通株式会社,旅費等内部管理業務共通システムのアプリケーション保守業務,334741000.0
25,2024,C,株式会社ＪＥＣＣ,旅費等内部管理業務共通システム用機器及びソフトウェア賃貸借,38985000.0
25,2024,D,富士通株式会社,旅費等内部管理業務共通システムの更改に係る設計・構築及び移行業務,727115000.0
25,2024,E,ＰｗＣコンサルティング合同会社,旅費等内部管理業務共通システムのプロジェクト管理支援業務,208664000.0
25,2024,F,株式会社ＬａｙｅｒＸ,旅費等内部管理業務共通システムの次期システム検討に係るプレ概念実証（プレPoC）の実施,981000.0
26,2024,A,エヌ・ティ・ティ・コミュニケーションズ株式会社,基盤保守運用,1154415000.0
26,2024,B,NTTビジネスソリューションズ株式会社,オペレーションセンターの運用,1089371000.0
26,2024,C,伊藤忠テクノソリューションズ株式会社ほか,運用基盤の提供・保守およびシステム基盤の監視,4620000.0
26,2024,D,株式会社アグレックス,法人オンライン申請に関するデータ解析,5654000.0
26,2024,E,株式会社NTTマーケティングアクトProCX,コールセンター業務,356400000.0
26,2024,F,テルウェル西日本株式会社,審査業務,93351000.0
26,2024,G,マンパワーグループ株式会社,法人の審査業務,47767000.0
26,2024,H,Crevo株式会社,動画作成,1980000.0
26,2024,I,エヌ・ティ・ティ・コミュニケーションズ株式会社,個人事業主向けGビズID発行申請の電子化に伴う開発業務,222292000.0
26,2024,J,株式会社日立ソリューションズほか,マイナンバーカードに関する開発,46788000.0
26,2024,K,株式会社テクノメディアラボ,個人認証サービススマホアプリの試験支援業務,8583000.0
